#1.2	
15744	8
XM_047164041.1	na
XM_047164042.1	na
XM_047164043.1	na
XM_047164047.1	na
XM_047164048.1	na
XM_047164049.1	na
XM_047164050.1	na
XM_047164051.1	na
XM_047164052.1	na
XM_047164053.1	na
XM_047164054.1	na
XM_047164055.1	na
XM_047164056.1	na
XM_047164060.1	na
XM_047164062.1	na
XM_047164064.1	na
XM_047164065.1	na
XM_047164066.1	na
XM_047164067.1	na
XM_047164070.1	na
XM_047164073.1	na
XM_047164080.1	na
XM_047164087.1	na
XM_047164091.1	na
XM_047164092.1	na
XM_047164093.1	na
XM_047164094.1	na
XM_047164098.1	na
XM_047164099.1	na
XM_047164100.1	na
XM_047164101.1	na
XM_047164102.1	na
XM_047164106.1	na
XM_047164108.1	na
XM_047164109.1	na
XM_047164110.1	na
XM_047164112.1	na
XM_047164118.1	na
XM_047164120.1	na
XM_047164121.1	na
XM_047164122.1	na
XM_047164128.1	na
XM_047164132.1	na
XM_047164133.1	na
XM_047164134.1	na
XM_047164135.1	na
XM_047164137.1	na
XM_047164140.1	na
XM_047164141.1	na
XM_047164142.1	na
XM_047164143.1	na
XM_047164148.1	na
XM_047164155.1	na
XM_047164157.1	na
XM_047164158.1	na
XM_047164159.1	na
XM_047164161.1	na
XM_047164163.1	na
XM_047164167.1	na
XM_047164168.1	na
XM_047164169.1	na
XM_047164170.1	na
XM_047164171.1	na
XM_047164172.1	na
XM_047164173.1	na
XM_047164175.1	na
XM_047164182.1	na
XM_047164183.1	na
XM_047164185.1	na
XM_047164190.1	na
XM_047164191.1	na
XM_047164192.1	na
XM_047164193.1	na
XM_047164196.1	na
XM_047164199.1	na
XM_047164200.1	na
XM_047164201.1	na
XM_047164202.1	na
XM_047164203.1	na
XM_047164204.1	na
XM_047164205.1	na
XM_047164206.1	na
XM_047164207.1	na
XM_047164209.1	na
XM_047164210.1	na
XM_047164211.1	na
XM_047164212.1	na
XM_047164213.1	na
XM_047164214.1	na
XM_047164216.1	na
XM_047164217.1	na
XM_047164218.1	na
XM_047164219.1	na
XM_047164220.1	na
XM_047164222.1	na
XM_047164223.1	na
XM_047164224.1	na
XM_047164226.1	na
XM_047164237.1	na
XM_047164238.1	na
XM_047164239.1	na
XM_047164240.1	na
XM_047164241.1	na
XM_047164242.1	na
XM_047164243.1	na
XM_047164244.1	na
XM_047164245.1	na
XM_047164246.1	na
XM_047164247.1	na
XM_047164248.1	na
XM_047164249.1	na
XM_047164250.1	na
XM_047164253.1	na
XM_047164254.1	na
XM_047164255.1	na
XM_047164256.1	na
XM_047164259.1	na
XM_047164260.1	na
XM_047164261.1	na
XM_047164262.1	na
XM_047164265.1	na
XM_047164266.1	na
XM_047164267.1	na
XM_047164268.1	na
XM_047164269.1	na
XM_047164270.1	na
XM_047164271.1	na
XM_047164272.1	na
XM_047164273.1	na
XM_047164274.1	na
XM_047164275.1	na
XM_047164276.1	na
XM_047164277.1	na
XM_047164278.1	na
XM_047164279.1	na
XM_047164280.1	na
XM_047164281.1	na
XM_047164282.1	na
XM_047164285.1	na
XM_047164293.1	na
XM_047164297.1	na
XM_047164298.1	na
XM_047164299.1	na
XM_047164304.1	na
XM_047164306.1	na
XM_047164309.1	na
XM_047164310.1	na
XM_047164311.1	na
XM_047164312.1	na
XM_047164313.1	na
XM_047164316.1	na
XM_047164317.1	na
XM_047164319.1	na
XM_047164320.1	na
XM_047164321.1	na
XM_047164322.1	na
XM_047164323.1	na
XM_047164324.1	na
XM_047164325.1	na
XM_047164326.1	na
XM_047164328.1	na
XM_047164329.1	na
XM_047164330.1	na
XM_047164331.1	na
XM_047164334.1	na
XM_047164335.1	na
XM_047164336.1	na
XM_047164337.1	na
XM_047164341.1	na
XM_047164342.1	na
XM_047164348.1	na
XM_047164349.1	na
XM_047164350.1	na
XM_047164351.1	na
XM_047164352.1	na
XM_047164354.1	na
XM_047164355.1	na
XM_047164356.1	na
XM_047164357.1	na
XM_047164360.1	na
XM_047164361.1	na
XM_047164362.1	na
XM_047164363.1	na
XM_047164365.1	na
XM_047164366.1	na
XM_047164367.1	na
XM_047164368.1	na
XM_047164369.1	na
XM_047164370.1	na
XM_047164371.1	na
XM_047164372.1	na
XM_047164373.1	na
XM_047164374.1	na
XM_047164376.1	na
XM_047164377.1	na
XM_047164380.1	na
XM_047164381.1	na
XM_047164382.1	na
XM_047164385.1	na
XM_047164386.1	na
XM_047164388.1	na
XM_047164389.1	na
XM_047164390.1	na
XM_047164391.1	na
XM_047164392.1	na
XM_047164393.1	na
XM_047164394.1	na
XM_047164396.1	na
XM_047164397.1	na
XM_047164399.1	na
XM_047164400.1	na
XM_047164401.1	na
XM_047164403.1	na
XM_047164404.1	na
XM_047164405.1	na
XM_047164406.1	na
XM_047164409.1	na
XM_047164416.1	na
XM_047164422.1	na
XM_047164423.1	na
XM_047164424.1	na
XM_047164428.1	na
XM_047164430.1	na
XM_047164431.1	na
XM_047164432.1	na
XM_047164433.1	na
XM_047164434.1	na
XM_047164438.1	na
XM_047164439.1	na
XM_047164440.1	na
XM_047164441.1	na
XM_047164442.1	na
XM_047164443.1	na
XM_047164444.1	na
XM_047164445.1	na
XM_047164446.1	na
XM_047164447.1	na
XM_047164448.1	na
XM_047164449.1	na
XM_047164450.1	na
XM_047164451.1	na
XM_047164452.1	na
XM_047164453.1	na
XM_047164454.1	na
XM_047164455.1	na
XM_047164457.1	na
XM_047164458.1	na
XM_047164459.1	na
XM_047164463.1	na
XM_047164464.1	na
XM_047164466.1	na
XM_047164467.1	na
XM_047164468.1	na
XM_047164469.1	na
XM_047164470.1	na
XM_047164471.1	na
XM_047164472.1	na
XM_047164473.1	na
XM_047164474.1	na
XM_047164476.1	na
XM_047164477.1	na
XM_047164478.1	na
XM_047164479.1	na
XM_047164480.1	na
XM_047164484.1	na
XM_047164485.1	na
XM_047164486.1	na
XM_047164487.1	na
XM_047164490.1	na
XM_047164492.1	na
XM_047164493.1	na
XM_047164494.1	na
XM_047164497.1	na
XM_047164498.1	na
XM_047164499.1	na
XM_047164500.1	na
XM_047164502.1	na
XM_047164503.1	na
XM_047164506.1	na
XM_047164507.1	na
XM_047164508.1	na
XM_047164509.1	na
XM_047164510.1	na
XM_047164511.1	na
XM_047164512.1	na
XM_047164513.1	na
XM_047164516.1	na
XM_047164517.1	na
XM_047164518.1	na
XM_047164519.1	na
XM_047164520.1	na
XM_047164521.1	na
XM_047164522.1	na
XM_047164524.1	na
XM_047164525.1	na
XM_047164526.1	na
XM_047164527.1	na
XM_047164528.1	na
XM_047164529.1	na
XM_047164530.1	na
XM_047164531.1	na
XM_047164532.1	na
XM_047164533.1	na
XM_047164534.1	na
XM_047164535.1	na
XM_047164537.1	na
XM_047164538.1	na
XM_047164539.1	na
XM_047164540.1	na
XM_047164541.1	na
XM_047164542.1	na
XM_047164543.1	na
XM_047164544.1	na
XM_047164546.1	na
XM_047164548.1	na
XM_047164549.1	na
XM_047164550.1	na
XM_047164551.1	na
XM_047164552.1	na
XM_047164553.1	na
XM_047164554.1	na
XM_047164555.1	na
XM_047164556.1	na
XM_047164557.1	na
XM_047164558.1	na
XM_047164559.1	na
XM_047164560.1	na
XM_047164561.1	na
XM_047164562.1	na
XM_047164565.1	na
XM_047164566.1	na
XM_047164567.1	na
XM_047164568.1	na
XM_047164569.1	na
XM_047164570.1	na
XM_047164572.1	na
XM_047164575.1	na
XM_047164576.1	na
XM_047164577.1	na
XM_047164578.1	na
XM_047164580.1	na
XM_047164581.1	na
XM_047164582.1	na
XM_047164583.1	na
XM_047164584.1	na
XM_047164585.1	na
